2015-10-31;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2015-11-01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2015-11-02;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;0;0;NA;0;NA;NA;NA;0;NA;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;NA;NA;2;2;2;2;2;2;2;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;4;4;4;NA;NA;4;4;4;4;4;4;4;4;NA;4;4;4;4;NA;4;NA;4;4;4;4;4;4;4;4;4;4;NA;4;4;4;4;4;NA;NA;NA;NA;4;4;NA;4;4;4;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;4;6;6;6;6;NA;5;5;5;5;5;5;5;5;NA;5;5;5;6;6;NA;6;6;6;6;6;6;6;6;6;6;NA;6;6;6;6;6;6;NA;6;NA;6;6;6;6;6;6;6;7;7
2015-11-03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;1;1;1;NA;1;NA;NA;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;3;3;3;3;NA;3;3;NA;NA;NA;NA;NA;NA;NA;NA;3;3;NA;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;4;NA;4;4;4;NA;4;4;NA;4;4;4;5;NA;5;NA;NA;5;5;5;5;5;5;5;5;NA;5;5;5;5;5;5;NA;5;NA;4;4;4;4;NA;NA;NA;NA;NA;4;4;4;4;4;4;NA;4;4;4;4;4;NA;4;4;4;4;4;4;NA;4;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;4;4;4;4;NA;4;4;4;4;4;4;4;4;4;NA;4;4;4;4;4;4;NA;4;NA;4;4;4;NA;NA;4;4;4;4;4;4;NA;4;4;4;4;4;4;4;4;4;NA;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;4;4;4;4;NA;4;4;4;4;4;NA;4;4;4;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;NA;NA;4;4;4;4;NA;4;NA;NA;NA;4;NA;4;4;4;4;4;4;NA;4;4;4;4;4;4;4;4;4;NA;4;4;4;4;4;4;4;4;4;4;4;4;4;4;6;6;6;6;6;6;NA;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;NA;NA;6;6;6;6;6;6;6;6;6;6;8;8;8;8;8;8;8;8;8;8;8;8;8;8;NA;8;8;8;NA;NA;8;8;8;8;8;8;8;8;NA;8;8;8;8;NA;8;NA;8;8;8;9;9;9;9;9;9;9;NA;9;9;9;9;9;NA;NA;NA;NA;9;10;NA;10;10;10;10;10;NA;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;NA;10;10;10;10;11;NA;11;11;11;11;11;11;11;11;NA;11;11;11;11;11;NA;11;11;11;11;11;11;11;11;11;11;NA;11;11;11;11;11;11;NA;12;NA;12;12;12;12;12;12;12;12;12
2015-11-04;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;1;1;2;2;NA;2;NA;NA;2;3;4;5;5;5;6;6;7;7;7;7;7;7;7;7;7;7;7;NA;8;8;NA;NA;NA;NA;NA;NA;NA;NA;8;8;NA;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;7;7;7;7;NA;7;7;7;NA;7;7;NA;9;9;9;11;NA;11;NA;NA;11;12;12;12;12;12;12;12;NA;12;12;12;12;12;12;NA;12;NA;11;11;11;11;NA;NA;NA;NA;NA;11;11;11;11;11;11;NA;11;11;11;11;11;NA;11;11;11;11;11;11;NA;11;11;11;NA;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;NA;11;11;11;11;NA;11;11;11;11;11;11;11;11;11;NA;11;11;11;11;11;11;NA;11;NA;11;11;11;NA;NA;11;11;11;11;11;11;NA;11;11;11;11;11;11;11;11;11;NA;11;11;NA;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;NA;11;11;11;11;NA;11;11;11;11;11;NA;11;11;11;11;11;NA;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;NA;NA;11;11;11;11;NA;11;NA;NA;NA;11;NA;11;11;11;11;11;11;NA;11;11;11;11;11;11;11;11;11;NA;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;NA;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;NA;NA;11;11;11;11;11;11;11;11;11;11;11;11;11;13;13;13;13;13;13;13;13;13;13;13;NA;13;13;13;NA;NA;13;13;13;13;13;13;13;13;NA;13;13;13;13;NA;13;NA;13;13;13;13;13;13;13;13;13;13;NA;13;13;13;13;13;NA;NA;NA;NA;13;13;NA;13;13;13;13;13;NA;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;NA;13;14;14;14;14;NA;14;14;14;14;14;14;14;14;NA;14;14;14;14;15;NA;15;15;15;15;15;15;15;15;15;15;NA;15;15;15;15;15;15;NA;15;NA;15;15;15;15;15;15;15;15;16
2015-11-05;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;1;1;NA;3;NA;NA;3;3;3;4;5;6;6;7;7;7;7;7;7;7;7;7;7;7;10;NA;10;10;NA;NA;NA;NA;NA;NA;NA;NA;10;10;NA;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;NA;10;10;10;NA;10;10;NA;10;10;10;11;NA;11;NA;NA;11;11;11;11;11;11;11;11;NA;11;11;11;11;11;11;NA;11;NA;11;11;11;11;NA;NA;NA;NA;NA;11;11;11;11;11;11;NA;11;11;11;11;11;NA;11;11;11;11;11;11;NA;11;11;11;NA;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;NA;11;11;11;11;NA;11;11;11;11;11;11;11;11;11;NA;11;11;11;11;11;11;NA;11;NA;11;11;11;NA;NA;11;11;11;11;11;11;NA;11;11;11;11;11;11;11;11;11;NA;11;11;NA;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;NA;11;11;11;11;NA;11;11;11;11;11;NA;11;11;11;11;11;NA;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;NA;NA;11;11;11;11;NA;11;NA;NA;NA;11;NA;11;11;11;11;11;11;NA;11;11;11;11;11;11;11;11;11;NA;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;NA;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;NA;NA;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;NA;11;11;11;NA;NA;11;11;11;11;11;11;11;11;NA;11;11;11;11;NA;11;NA;11;11;11;11;11;11;11;11;11;11;NA;11;11;11;11;11;NA;NA;NA;NA;11;11;NA;11;11;11;11;11;NA;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;NA;11;13;13;13;13;NA;13;13;13;13;16;17;17;17;NA;17;17;17;18;19;NA;19;19;19;19;19;19;19;19;19;19;NA;19;19;19;19;19;19;NA;19;NA;19;19;19;19;19;19;19;19;19
2015-11-06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;NA;NA;0;0;NA;0;NA;0;0;0;0;0;0;0;0;1;3;3;3;3;NA;5;NA;NA;5;5;5;5;5;6;6;7;7;7;7;8;10;10;10;10;11;11;14;NA;14;14;NA;NA;NA;NA;NA;NA;NA;NA;14;14;NA;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;NA;14;14;14;NA;14;14;NA;14;14;14;15;NA;15;NA;NA;15;15;15;15;15;15;15;15;NA;15;15;15;15;15;15;NA;15;NA;15;15;15;15;NA;NA;NA;NA;NA;15;15;15;15;15;15;NA;15;15;15;15;15;NA;15;15;15;15;15;15;NA;15;15;15;NA;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;NA;15;15;15;15;NA;15;15;15;15;15;15;15;15;15;NA;15;15;15;15;15;15;NA;15;NA;15;15;15;NA;NA;15;15;15;15;15;15;NA;15;15;15;15;15;15;15;15;15;NA;15;15;NA;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;NA;15;15;15;15;NA;15;15;15;15;15;NA;15;15;15;15;15;NA;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;NA;NA;15;15;15;15;NA;15;NA;NA;NA;15;NA;15;15;15;15;15;15;NA;15;15;15;15;15;15;15;15;15;NA;15;15;15;15;15;15;15;15;15;15;15;15;15;15;17;17;17;17;17;17;NA;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;NA;NA;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;NA;17;17;17;NA;NA;17;17;17;17;17;17;17;17;NA;17;17;17;17;NA;17;NA;17;17;17;17;17;17;17;17;17;17;NA;17;17;17;17;17;NA;NA;NA;NA;17;17;NA;17;17;17;17;17;NA;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;NA;17;17;17;17;17;NA;17;17;17;17;17;18;18;18;NA;18;18;18;18;19;NA;19;19;19;19;19;19;19;19;19;19;NA;19;19;19;19;19;19;NA;21;NA;21;21;21;21;21;21;21;21;21
2015-11-07;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;NA;1;1;1;NA;1;1;NA;1;1;1;1;NA;1;NA;NA;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;NA;1;NA;1;1;1;1;NA;NA;NA;NA;NA;1;1;1;1;1;1;NA;1;1;1;1;1;NA;1;1;1;1;1;1;NA;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;NA;1;NA;1;1;1;NA;NA;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;NA;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;1;1;1;1;NA;1;1;1;1;1;NA;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;1;1;1;1;NA;1;NA;NA;NA;1;NA;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;1;1;1;NA;NA;1;1;1;1;1;1;1;1;NA;1;1;1;1;NA;1;NA;1;1;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;NA;NA;NA;NA;1;1;NA;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;NA;1;1;1;1;1;1;1;1;1;1;NA;1;1;1;1;1;1;NA;1;NA;1;1;1;1;1;1;1;1;1
2015-11-08;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;0;0;0;0;0;0;0;0
2015-11-09;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;1;1;2;3;3;3;3;3;NA;5;NA;NA;5;5;5;7;8;8;8;8;9;9;9;8;8;8;8;8;8;8;8;NA;8;9;NA;NA;NA;NA;NA;NA;NA;NA;9;9;NA;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;NA;9;9;9;NA;9;9;NA;9;9;9;9;NA;9;NA;NA;9;9;9;10;10;10;10;10;NA;10;10;10;10;10;10;NA;10;NA;12;12;14;14;NA;NA;NA;NA;NA;14;14;14;14;14;14;NA;14;14;14;14;14;NA;14;14;14;14;14;14;NA;14;14;14;NA;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;NA;14;14;14;14;NA;14;14;14;14;14;14;14;14;14;NA;14;14;14;14;14;14;NA;14;NA;14;14;14;NA;NA;14;14;14;14;14;14;NA;14;14;14;14;14;14;14;14;14;NA;14;14;NA;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;NA;14;14;14;14;NA;14;14;14;14;14;NA;14;14;14;14;14;NA;14;14;14;14;15;15;15;15;15;15;15;15;15;15;15;15;NA;NA;15;15;15;15;NA;15;NA;NA;NA;15;NA;15;15;15;15;15;15;NA;15;15;15;15;15;15;15;15;15;NA;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;NA;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;NA;NA;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;NA;15;15;15;NA;NA;16;16;16;16;16;16;16;16;NA;16;16;16;16;NA;16;NA;16;16;16;16;16;16;16;16;16;16;NA;16;16;16;16;16;NA;NA;NA;NA;16;16;NA;16;16;16;16;16;NA;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;NA;16;16;16;16;16;NA;16;16;16;16;17;17;17;17;NA;17;17;17;17;17;NA;17;17;17;17;17;17;17;17;17;17;NA;17;17;17;17;17;17;NA;19;NA;19;19;19;19;19;19;19;19;19
